"state","surveyResult","restaurants__name","restaurants__image_url","restaurants__url","restaurants__rating","restaurants__location__address1","restaurants__location__address2","restaurants__location__address3","restaurants__location__city","restaurants__location__zip_code","restaurants__location__country","restaurants__location__state","restaurants__location__display_address__001","restaurants__location__display_address__002","restaurants__location__display_address__003"
"","","Lux Central","https://s3-media4.fl.yelpcdn.com/bphoto/zbqPnkBXQVn_qwFLjjjBnw/o.jpg","https://www.yelp.com/biz/lux-central-phoenix-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","4400 N Central Ave","","","Phoenix","85012","US","AZ","4400 N Central Ave","Phoenix, AZ 85012",""
"Pennsylvania","Philadelphia","Pat's King of Steaks","https://s3-media4.fl.yelpcdn.com/bphoto/2SR33PN034iL7BR2wXnUtQ/o.jpg","https://www.yelp.com/biz/pats-king-of-steaks-philadelphia-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","1237 E Passyunk Ave","","","Philadelphia","19147","US","PA","1237 E Passyunk Ave","Philadelphia, PA 19147",""
"","","Geno's Steaks","https://s3-media3.fl.yelpcdn.com/bphoto/mUJo9tO2euPwQxknN_927g/o.jpg","https://www.yelp.com/biz/genos-steaks-philadelphia?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","2.5","1219 S 9th St","","","Philadelphia","19147","US","PA","1219 S 9th St","Philadelphia, PA 19147",""
"","","El Vez","https://s3-media1.fl.yelpcdn.com/bphoto/aYu_j7USJUNkbQxfVVPwtQ/o.jpg","https://www.yelp.com/biz/el-vez-philadelphia?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","121 S 13th St","","","Philadelphia","19107","US","PA","121 S 13th St","Philadelphia, PA 19107",""
"","","Zahav","https://s3-media3.fl.yelpcdn.com/bphoto/62trb3phJ8OzxmT64_qsGA/o.jpg","https://www.yelp.com/biz/zahav-philadelphia?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","237 St James Pl","","","Philadelphia","19106","US","PA","237 St James Pl","Philadelphia, PA 19106",""
"","","Barbuzzo","https://s3-media4.fl.yelpcdn.com/bphoto/XMBdEAkuMf-Xx2vxnfTdnQ/o.jpg","https://www.yelp.com/biz/barbuzzo-philadelphia?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","110 S 13th St","","","Philadelphia","19107","US","PA","110 S 13th St","Philadelphia, PA 19107",""
"Texas","San Antonio","Rosario's Mexican Cafe Y Cantina","https://s3-media4.fl.yelpcdn.com/bphoto/e2g2vcRO790bK4ad8rRTog/o.jpg","https://www.yelp.com/biz/rosarios-mexican-cafe-y-cantina-san-antonio?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","910 S Alamo St","","","San Antonio","78205","US","TX","910 S Alamo St","San Antonio, TX 78205",""
"","","Mi Tierra Cafe & Bakery","https://s3-media4.fl.yelpcdn.com/bphoto/vNkFbBTRmcI6svj22ZN4Fw/o.jpg","https://www.yelp.com/biz/mi-tierra-cafe-and-bakery-san-antonio-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","218 Produce Row","","","San Antonio","78207","US","TX","218 Produce Row","San Antonio, TX 78207",""
"","","The Esquire Tavern","https://s3-media3.fl.yelpcdn.com/bphoto/tIrzyaUuXJmHwIfbnY3PVw/o.jpg","https://www.yelp.com/biz/the-esquire-tavern-san-antonio?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","155 E Commerce St","","","San Antonio","78205","US","TX","155 E Commerce St","San Antonio, TX 78205",""
"","","Boudro's On the River Walk","https://s3-media3.fl.yelpcdn.com/bphoto/CzVwNFhmkPxD8HMseWRCDA/o.jpg","https://www.yelp.com/biz/boudros-on-the-river-walk-san-antonio?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","421 E Commerce St","","","San Antonio","78205","US","TX","421 E Commerce St","San Antonio, TX 78205",""
