"state","surveyResult","landmarks__name","landmarks__image_url","landmarks__url","landmarks__rating","landmarks__location__address1","landmarks__location__address2","landmarks__location__address3","landmarks__location__city","landmarks__location__zip_code","landmarks__location__country","landmarks__location__state","landmarks__location__display_address__001","landmarks__location__display_address__002","landmarks__location__display_address__003"
"","","Causeway Bridge","https://s3-media2.fl.yelpcdn.com/bphoto/cPObkzJiriMUsXPwjlaIuQ/o.jpg","https://www.yelp.com/biz/causeway-bridge-metairie?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","3943 N Causeway Blvd","","","Metairie","70002","US","LA","3943 N Causeway Blvd","Metairie, LA 70002",""
"","","Lee Circle","https://s3-media2.fl.yelpcdn.com/bphoto/7UQ2caoQr3qTNSlP-uJDjQ/o.jpg","https://www.yelp.com/biz/lee-circle-new-orleans?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","St Charles Ave At Howard Ave","","","New Orleans","70130","US","LA","St Charles Ave At Howard Ave","New Orleans, LA 70130",""
"Florida","Tampa","Historic Ybor City District","https://s3-media1.fl.yelpcdn.com/bphoto/fbhFZZqLZRqsJnX9m-WT1w/o.jpg","https://www.yelp.com/biz/historic-ybor-surveyResult-district-tampa?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","","","","Tampa","33605","US","FL","Tampa, FL 33605","",""
"","","Howard Frankland Bridge","https://s3-media3.fl.yelpcdn.com/bphoto/FDlyHl9axDR1DHpe5huZ9w/o.jpg","https://www.yelp.com/biz/howard-frankland-bridge-tampa-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","Interstate 275","","","Tampa","33607","US","FL","Interstate 275","Tampa, FL 33607",""
"","","Heritage Village & Historical Museum","https://s3-media2.fl.yelpcdn.com/bphoto/SRQpvMsZ-pQPqA6klgURug/o.jpg","https://www.yelp.com/biz/heritage-village-and-historical-museum-largo?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","11909 125th St N","","","Largo","33774","US","FL","11909 125th St N","Largo, FL 33774",""
"","","Courtney Campbell Causeway","https://s3-media3.fl.yelpcdn.com/bphoto/kXda2XYk45Ll4RcZ3VeWOQ/o.jpg","https://www.yelp.com/biz/courtney-campbell-causeway-tampa?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","7700 W Courtney Campbell Cswy","","","Tampa","33607","US","FL","7700 W Courtney Campbell Cswy","Tampa, FL 33607",""
"","","City of Tampa","https://s3-media2.fl.yelpcdn.com/bphoto/_6EkEYqbe02FUq87H0L5Xg/o.jpg","https://www.yelp.com/biz/surveyResult-of-tampa-tampa-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","306 E Jackson St","null","null","Tampa","33602","US","FL","306 E Jackson St","Tampa, FL 33602",""
"Kansas","Wichita","Keeper Of The Plains Plaza","https://s3-media3.fl.yelpcdn.com/bphoto/tNnDyi3Sz5gMauafl7QTMw/o.jpg","https://www.yelp.com/biz/keeper-of-the-plains-plaza-wichita?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","650 N Seneca St","","","Wichita","67203","US","KS","650 N Seneca St","Wichita, KS 67203",""
"","","Veterans Memorial Park","https://s3-media4.fl.yelpcdn.com/bphoto/f88IBOTsscON0xPhk08BpA/o.jpg","https://www.yelp.com/biz/veterans-memorial-park-wichita?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","339 Veterans Pkwy","","null","Wichita","67202","US","KS","339 Veterans Pkwy","Wichita, KS 67202",""
"California","Bakersfield","Hart Memorial Park","https://s3-media2.fl.yelpcdn.com/bphoto/5D2cLjZ060iNswURigZh5A/o.jpg","https://www.yelp.com/biz/hart-memorial-park-bakersfield?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","Alfred Harrell Highway At Canal Rd","","","Bakersfield","93308","US","CA","Alfred Harrell Highway At Canal Rd","Bakersfield, CA 93308",""
"","","Oak Flat Lookout","https://s3-media3.fl.yelpcdn.com/bphoto/-8h_IhvBVOScJ4WN_Xz7cg/o.jpg","https://www.yelp.com/biz/oak-flat-lookout-bakersfield?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","","","","Bakersfield","","US","CA","Bakersfield, CA","",""
"","","The Bakersfield Sign","https://s3-media4.fl.yelpcdn.com/bphoto/2XUKcVlx3t_3rn86Hius2A/o.jpg","https://www.yelp.com/biz/the-bakersfield-sign-bakersfield?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","Sillect Ave","","null","Bakersfield","93308","US","CA","Sillect Ave","Bakersfield, CA 93308",""
"","","Colonel Baker Memorial","https://s3-media1.fl.yelpcdn.com/bphoto/vQYmwbXbQlEGFZBf5rWuEQ/o.jpg","https://www.yelp.com/biz/colonel-baker-memorial-bakersfield?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","1501 Truxtun Ave","","null","Bakersfield","93301","US","CA","1501 Truxtun Ave","Bakersfield, CA 93301",""
"","","Discovery Well of the Kern River Oil Field","","https://www.yelp.com/biz/discovery-well-of-the-kern-river-oil-field-bakersfield?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","5798 Round Mountain Rd","","null","Bakersfield","93308","US","CA","5798 Round Mountain Rd","Bakersfield, CA 93308",""
"Ohio","Cleveland","USS Cod Submarine Memorial","https://s3-media1.fl.yelpcdn.com/bphoto/vnEhxb7pb5XRFPEToujQzg/o.jpg","https://www.yelp.com/biz/uss-cod-submarine-memorial-cleveland?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","1201 North Marginal Rd","","","Cleveland","44114","US","OH","1201 North Marginal Rd","Cleveland, OH 44114",""
"","","Chagrin Water Falls","https://s3-media4.fl.yelpcdn.com/bphoto/d8G4Xe-jLqtMrS5O7q12Ow/o.jpg","https://www.yelp.com/biz/chagrin-water-falls-chagrin-falls?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","Main Street And Chagrin River","","","Chagrin Falls","44022","US","OH","Main Street And Chagrin River","Chagrin Falls, OH 44022",""
"","","City of Cleveland","https://s3-media1.fl.yelpcdn.com/bphoto/Ib0hZ8mRtF_SaEoMpXX-Fw/o.jpg","https://www.yelp.com/biz/surveyResult-of-cleveland-cleveland-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","601 Lakeside Ave E","null","null","Cleveland","44114","US","OH","601 Lakeside Ave E","Cleveland, OH 44114",""
"","","Terminal Tower","https://s3-media2.fl.yelpcdn.com/bphoto/328vwV6g3XxpRs2d2_tQNQ/o.jpg","https://www.yelp.com/biz/terminal-tower-cleveland?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","50 Public Sq","","","Cleveland","44113","US","OH","50 Public Sq","Cleveland, OH 44113",""
"","","Cleveland History Center","https://s3-media4.fl.yelpcdn.com/bphoto/xKhxaIinSSGKR3jqACyEfQ/o.jpg","https://www.yelp.com/biz/cleveland-history-center-cleveland?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","10825 East Blvd","","","Cleveland","44106","US","OH","10825 East Blvd","Cleveland, OH 44106",""
"Colorado","Aurora","The DIA Giant Blue Bronco","https://s3-media1.fl.yelpcdn.com/bphoto/mMd8SnY2zcDj0E7L-RBFQg/o.jpg","https://www.yelp.com/biz/the-dia-giant-blue-bronco-denver?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","8500 Pena Blvd","","","Denver","80249","US","CO","8500 Pena Blvd","Denver, CO 80249",""
"","","Colorado State Government: Capitol Building","https://s3-media2.fl.yelpcdn.com/bphoto/RKOYzkfdZL8vyMnocu-XmA/o.jpg","https://www.yelp.com/biz/colorado-state-government-capitol-building-denver?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","200 E Colfax Ave","Ste 136","","Denver","80203","US","CO","200 E Colfax Ave","Ste 136","Denver, CO 80203"
"","","United States Mint","https://s3-media1.fl.yelpcdn.com/bphoto/_qWM_Y7s-Vh61HIHySBzYw/o.jpg","https://www.yelp.com/biz/united-states-mint-denver?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","320 W Colfax Ave","","","Denver","80204","US","CO","320 W Colfax Ave","Denver, CO 80204",""
"","","I See What You Mean by Lawrence Argent","https://s3-media3.fl.yelpcdn.com/bphoto/-ak9KVvgr1dmjtfOiMPmZg/o.jpg","https://www.yelp.com/biz/i-see-what-you-mean-by-lawrence-argent-denver?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","700 14th St","","Colorado Convention Center","Denver","80202","US","CO","700 14th St","Colorado Convention Center","Denver, CO 80202"
"","","Millennium Bridge","https://s3-media2.fl.yelpcdn.com/bphoto/ScYb_96p_f7zq0RIZUS5Kw/o.jpg","https://www.yelp.com/biz/millennium-bridge-denver?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","16TH St Mall And Chestnut St","","","Denver","80238","US","CO","16TH St Mall And Chestnut St","Denver, CO 80238",""
"California","Anaheim","Anaheim Packing District","https://s3-media4.fl.yelpcdn.com/bphoto/QIlMhpw2eYJwC13NV4QZ3w/o.jpg","https://www.yelp.com/biz/anaheim-packing-district-anaheim?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","440 S Anaheim Blvd","","","Anaheim","92805","US","CA","440 S Anaheim Blvd","Anaheim, CA 92805",""
"","","Chino Hills State Park","https://s3-media2.fl.yelpcdn.com/bphoto/qqlP1QwImXZZimrn6nCFRg/o.jpg","https://www.yelp.com/biz/chino-hills-state-park-chino-hills-4?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","4721 Sapphire Rd","","","Chino Hills","91709","US","CA","4721 Sapphire Rd","Chino Hills, CA 91709",""
"","","Rancho Los Alamitos","https://s3-media3.fl.yelpcdn.com/bphoto/OA1q6pxlY2szfGsp4-sr5A/o.jpg","https://www.yelp.com/biz/rancho-los-alamitos-long-beach?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","6400 E Bixby Hill Rd","","","Long Beach","90815","US","CA","6400 E Bixby Hill Rd","Long Beach, CA 90815",""
"","","The Orange Circle","https://s3-media4.fl.yelpcdn.com/bphoto/I8HG9QTTusuP5XaYHX8SiQ/o.jpg","https://www.yelp.com/biz/the-orange-circle-orange-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","Glassell & Chapman","","","Orange","92866","US","CA","Glassell & Chapman","Orange, CA 92866",""
"","","Xcelerator","https://s3-media2.fl.yelpcdn.com/bphoto/34zjgnYiRbNa_CDEXGf_Hw/o.jpg","https://www.yelp.com/biz/xcelerator-buena-park-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","8039 Beach Blvd","","","Buena Park","90620","US","CA","8039 Beach Blvd","Buena Park, CA 90620",""
"Hawaii","Honolulu","World War II Valor in the Pacific National Monument","https://s3-media1.fl.yelpcdn.com/bphoto/CMgE9o7vqLgeq9Eu-_J_8Q/o.jpg","https://www.yelp.com/biz/world-war-ii-valor-in-the-pacific-national-monument-honolulu?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","1 Arizona Memorial Pl","null","Pearl Harbor Visitor Center","Honolulu","96818","US","HI","1 Arizona Memorial Pl","Pearl Harbor Visitor Center","Honolulu, HI 96818"
"","","Battleship Missouri Memorial","https://s3-media2.fl.yelpcdn.com/bphoto/kV045xHuzwEYFToR99MPKQ/o.jpg","https://www.yelp.com/biz/battleship-missouri-memorial-honolulu?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","63 Cowpens St","","Historic Ford Island","Honolulu","96818","US","HI","63 Cowpens St","Historic Ford Island","Honolulu, HI 96818"
"","","Halona Blowhole","https://s3-media2.fl.yelpcdn.com/bphoto/M4d7W6uuIotPHK9a6yO8mQ/o.jpg","https://www.yelp.com/biz/halona-blowhole-honolulu?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","8699 State Hwy 72","","","Honolulu","96805","US","HI","8699 State Hwy 72","Honolulu, HI 96805",""
"","","National Memorial Cemetery of the Pacific","https://s3-media1.fl.yelpcdn.com/bphoto/kuMsiontixWZ7RVfa7ilpA/o.jpg","https://www.yelp.com/biz/national-memorial-cemetery-of-the-pacific-honolulu?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","2177 Puowaina Dr","","","Honolulu","96813","US","HI","2177 Puowaina Dr","Honolulu, HI 96813",""
"","","Nu'uanu Pali State Park","https://s3-media4.fl.yelpcdn.com/bphoto/hgYmv6xAMtgILTq7uMGfqg/o.jpg","https://www.yelp.com/biz/nuuanu-pali-state-park-honolulu?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","Nuuanu Pali Dr","","Pali Hwy","Honolulu","96817","US","HI","Nuuanu Pali Dr","Pali Hwy","Honolulu, HI 96817"
"California","Santa Ana","The Orange Circle","https://s3-media4.fl.yelpcdn.com/bphoto/I8HG9QTTusuP5XaYHX8SiQ/o.jpg","https://www.yelp.com/biz/the-orange-circle-orange-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","Glassell & Chapman","","","Orange","92866","US","CA","Glassell & Chapman","Orange, CA 92866",""
"","","Santa Ana Water Tower","https://s3-media3.fl.yelpcdn.com/bphoto/TRLHZdiIjOT2wJa3Gggytw/o.jpg","https://www.yelp.com/biz/santa-ana-water-tower-santa-ana?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","17TH St","","","Santa Ana","92725","US","CA","17TH St","Santa Ana, CA 92725",""
"","","City Hall","https://s3-media3.fl.yelpcdn.com/bphoto/Bc5ClIlJXn-QZT9QDIUwKQ/o.jpg","https://www.yelp.com/biz/surveyResult-hall-santa-ana?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.0","20 Civic Center Plz","","","Santa Ana","92701","US","CA","20 Civic Center Plz","Santa Ana, CA 92701",""
"","","Irvine Ranch Historic Park","https://s3-media1.fl.yelpcdn.com/bphoto/hsjB7BAnMR9l0M0KpxNuyg/o.jpg","https://www.yelp.com/biz/irvine-ranch-historic-park-irvine?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","13042 Old Myford Rd","","","Irvine","92602","US","CA","13042 Old Myford Rd","Irvine, CA 92602",""
"","","Diego Sepulveda Adobe","https://s3-media3.fl.yelpcdn.com/bphoto/rzqOChOQHW1QvBvIESsLHQ/o.jpg","https://www.yelp.com/biz/diego-sepulveda-adobe-costa-mesa?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","1900 Adams Ave","","Costa Mesa Historical Society","Costa Mesa","92626","US","CA","1900 Adams Ave","Costa Mesa Historical Society","Costa Mesa, CA 92626"
"California","Riverside","Chino Hills State Park","https://s3-media2.fl.yelpcdn.com/bphoto/qqlP1QwImXZZimrn6nCFRg/o.jpg","https://www.yelp.com/biz/chino-hills-state-park-chino-hills-4?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","4721 Sapphire Rd","","","Chino Hills","91709","US","CA","4721 Sapphire Rd","Chino Hills, CA 91709",""
"","","Lincoln Memorial Shrine","https://s3-media1.fl.yelpcdn.com/bphoto/6_CRN0MI1MXRUhdnZKu6Jw/o.jpg","https://www.yelp.com/biz/lincoln-memorial-shrine-redlands?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","125 W Vine St","","","Redlands","92373","US","CA","125 W Vine St","Redlands, CA 92373",""
"","","Claremont Heritage","https://s3-media1.fl.yelpcdn.com/bphoto/coo6vJ2aU2wzglZaMgbngQ/o.jpg","https://www.yelp.com/biz/claremont-heritage-claremont-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","840 N Indian Hill Blvd","","","Claremont","91711","US","CA","840 N Indian Hill Blvd","Claremont, CA 91711",""
"","","Heritage Hill Historical Park","https://s3-media1.fl.yelpcdn.com/bphoto/KmSp3Icx60pEtPo5ILfLHA/o.jpg","https://www.yelp.com/biz/heritage-hill-historical-park-lake-forest?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","25151 Serrano Rd","","","Lake Forest","92630","US","CA","25151 Serrano Rd","Lake Forest, CA 92630",""
"","","Fontana Dog Park","https://s3-media4.fl.yelpcdn.com/bphoto/IGldyiYEvC3Cm5hdjfQmwg/o.jpg","https://www.yelp.com/biz/fontana-dog-park-fontana?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","15556 Summit Ave","","","Fontana","92336","US","CA","15556 Summit Ave","Fontana, CA 92336",""
"Texas","Corpus Christi","Selena Memorial Statue","https://s3-media1.fl.yelpcdn.com/bphoto/IByE4DJyal8HncIzsEYfRg/o.jpg","https://www.yelp.com/biz/selena-memorial-statue-corpus-christi?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","N Shoreline Blvd Peoples St","","","Corpus Christi","78401","US","TX","N Shoreline Blvd Peoples St","Corpus Christi, TX 78401",""
"","","Harbor Bridge - SH181","https://s3-media2.fl.yelpcdn.com/bphoto/c05wMTB4lpwK-BVt-8OMnw/o.jpg","https://www.yelp.com/biz/harbor-bridge-sh181-corpus-christi?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","US Highway 181","","","Corpus Christi","","US","TX","US Highway 181","Corpus Christi, TX",""
"","","Sarita Check Point","https://s3-media3.fl.yelpcdn.com/bphoto/FVYobF1WrK4z9hjiOgOj_A/o.jpg","https://www.yelp.com/biz/sarita-check-point-sarita-tx?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","2.0","Hwy 77","","","Sarita Tx","78385","US","TX","Hwy 77","Sarita Tx, TX 78385",""
"","","Port Aransas City Of","https://s3-media1.fl.yelpcdn.com/bphoto/fq1cwFXcsjUU0BJ0hOUhXg/o.jpg","https://www.yelp.com/biz/port-aransas-surveyResult-of-port-aransas-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","710 W Ave A","","","Port Aransas","78373","US","TX","710 W Ave A","Port Aransas, TX 78373",""
"","","Big Blue Crab","https://s3-media2.fl.yelpcdn.com/bphoto/6dfMnxUlJdjvcMJiuqgSxA/o.jpg","https://www.yelp.com/biz/big-blue-crab-rockport?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","1580 E Laurel St","","null","Rockport","78382","US","TX","1580 E Laurel St","Rockport, TX 78382",""
"Kentucky","Lexington-Fayette","Kentucky State Capitol","https://s3-media2.fl.yelpcdn.com/bphoto/0RdGCtsSUfhl_EjE8c37-A/o.jpg","https://www.yelp.com/biz/kentucky-state-capitol-frankfort?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","700 Capitol Ave","","","Frankfort","40621","US","KY","700 Capitol Ave","Frankfort, KY 40621",""
"","","Perryville Battlefield Historic Site","https://s3-media3.fl.yelpcdn.com/bphoto/u0Qug3ihEBiM6K-IGP6Meg/o.jpg","https://www.yelp.com/biz/perryville-battlefield-historic-site-perryville?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","1825 Battlefield Rd","","","Perryville","40468","US","KY","1825 Battlefield Rd","Perryville, KY 40468",""
"","","Thoroughbred Park","https://s3-media1.fl.yelpcdn.com/bphoto/JH7squeA8WZgTZdEL2wxFA/o.jpg","https://www.yelp.com/biz/thoroughbred-park-lexington?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","385-387 East Short St","","","Lexington","40508","US","KY","385-387 East Short St","Lexington, KY 40508",""
"","","Ward Hall","https://s3-media4.fl.yelpcdn.com/bphoto/Sd32O8S0gAsBBd1GYAKb5Q/o.jpg","https://www.yelp.com/biz/ward-hall-georgetown?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","5.0","1782 Frankfort Rd","","","Georgetown","40324","US","KY","1782 Frankfort Rd","Georgetown, KY 40324",""
"","","Civil War Fort at Boonesboro","https://s3-media2.fl.yelpcdn.com/bphoto/whgafVccr5YqGslhveKnkw/o.jpg","https://www.yelp.com/biz/civil-war-fort-at-boonesboro-winchester?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","2.5","1250 Ford Rd","","","Winchester","40391","US","KY","1250 Ford Rd","Winchester, KY 40391",""
"California","Stockton","Locke Historic District","https://s3-media3.fl.yelpcdn.com/bphoto/r8tAaHBR8xUWNYxL4Ed_Zg/o.jpg","https://www.yelp.com/biz/locke-historic-district-walnut-grove?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","13920 Main St","null","null","Walnut Grove","95690","US","CA","13920 Main St","Walnut Grove, CA 95690",""
"","","Three Mile Slough Bridge","https://s3-media1.fl.yelpcdn.com/bphoto/vMc9fWDMT_5rOVOFuag2EQ/o.jpg","https://www.yelp.com/biz/three-mile-slough-bridge-rio-vista?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","Three Mile Slough","","","Rio Vista","94571","US","CA","Three Mile Slough","Rio Vista, CA 94571",""
