"state","surveyResult","landmarks__name","landmarks__image_url","landmarks__url","landmarks__rating","landmarks__location__address1","landmarks__location__address2","landmarks__location__address3","landmarks__location__city","landmarks__location__zip_code","landmarks__location__country","landmarks__location__state","landmarks__location__display_address__001","landmarks__location__display_address__002","landmarks__location__display_address__003"
"","","Historic Heritage Square","https://s3-media2.fl.yelpcdn.com/bphoto/9ANRtayMHTTTYgpPQ9oNuA/o.jpg","https://www.yelp.com/biz/historic-heritage-square-phoenix?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","115 N 6th St","","","Phoenix","85004","US","AZ","115 N 6th St","Phoenix, AZ 85004",""
"","","Margaret T Hance Park","https://s3-media1.fl.yelpcdn.com/bphoto/luZJnF4GpWZvagV22PvoLg/o.jpg","https://www.yelp.com/biz/margaret-t-hance-park-phoenix?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","1134 N Central Ave","","","Phoenix","85004","US","AZ","1134 N Central Ave","Phoenix, AZ 85004",""
"","","Civic Space Park","https://s3-media4.fl.yelpcdn.com/bphoto/gA1n5lrEirsm3KeoYGFjPw/o.jpg","https://www.yelp.com/biz/civic-space-park-phoenix?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","424 N Central Ave","","","Phoenix","85004","US","AZ","424 N Central Ave","Phoenix, AZ 85004",""
"Pennsylvania","Philadelphia","Eastern State Penitentiary Historic Site","https://s3-media4.fl.yelpcdn.com/bphoto/6ioKl9GD94kbtAywVlQfAA/o.jpg","https://www.yelp.com/biz/eastern-state-penitentiary-historic-site-philadelphia?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","2027 Fairmount Ave","","","Philadelphia","19130","US","PA","2027 Fairmount Ave","Philadelphia, PA 19130",""
"","","Liberty Bell Center","https://s3-media1.fl.yelpcdn.com/bphoto/VwpvXK_0NtNyUSQeJgWcoQ/o.jpg","https://www.yelp.com/biz/liberty-bell-center-philadelphia-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","6th St & Chesnut St","","Independence National Historical Park","Philadelphia","19106","US","PA","6th St & Chesnut St","Independence National Historical Park","Philadelphia, PA 19106"
"","","Independence Hall","https://s3-media1.fl.yelpcdn.com/bphoto/5dg0EolTUZaHR7a9TwMisw/o.jpg","https://www.yelp.com/biz/independence-hall-philadelphia?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","520 Chestnut St","","","Philadelphia","19106","US","PA","520 Chestnut St","Philadelphia, PA 19106",""
"","","Independence National Historical Park","https://s3-media4.fl.yelpcdn.com/bphoto/D5tX1EPyRYB47v0ERcfhMw/o.jpg","https://www.yelp.com/biz/independence-national-historical-park-philadelphia-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.5","143 S 3rd St","","","Philadelphia","19106","US","PA","143 S 3rd St","Philadelphia, PA 19106",""
"","","The Betsy Ross House","https://s3-media4.fl.yelpcdn.com/bphoto/ZyKjI3NPo7CaDI438vyUGA/o.jpg","https://www.yelp.com/biz/the-betsy-ross-house-philadelphia?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","239 Arch St","null","","Philadelphia","19106","US","PA","239 Arch St","Philadelphia, PA 19106",""
"Texas","San Antonio","The Alamo","https://s3-media1.fl.yelpcdn.com/bphoto/YMspVhYeFjZzxE7inVAVVQ/o.jpg","https://www.yelp.com/biz/the-alamo-san-antonio?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","300 Alamo Plz","","","San Antonio","78205","US","TX","300 Alamo Plz","San Antonio, TX 78205",""
"","","Tower of the Americas","https://s3-media4.fl.yelpcdn.com/bphoto/FQjifssDI1MXnm5O2Qg0zw/o.jpg","https://www.yelp.com/biz/tower-of-the-americas-san-antonio-4?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","739 E Cesar E Chavez Blvd","","","San Antonio","78205","US","TX","739 E Cesar E Chavez Blvd","San Antonio, TX 78205",""
