"state","city","hotels__name","hotels__image_url","hotels__url","hotels__rating","hotels__location__address1","hotels__location__address2","hotels__location__address3","hotels__location__city","hotels__location__zip_code","hotels__location__country","hotels__location__state","hotels__location__display_address__001","hotels__location__display_address__002","hotels__location__display_address__003"
"","","Kimpton Hotel Monaco Philadelphia","https://s3-media2.fl.yelpcdn.com/bphoto/xksihBG1pwQbX3folUQ_3w/o.jpg","https://www.yelp.com/biz/kimpton-hotel-monaco-philadelphia-philadelphia?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","433 Chestnut St","","","Philadelphia","19106","US","PA","433 Chestnut St","Philadelphia, PA 19106",""
"","","Kimpton Hotel Palomar Philadelphia","https://s3-media4.fl.yelpcdn.com/bphoto/P6zn6_BKaIO9h6JRoDmOpQ/o.jpg","https://www.yelp.com/biz/kimpton-hotel-palomar-philadelphia-philadelphia?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","117 S 17th St","","","Philadelphia","19103","US","PA","117 S 17th St","Philadelphia, PA 19103",""
"Texas","San Antonio","Hotel Valencia Riverwalk","https://s3-media4.fl.yelpcdn.com/bphoto/LLmDvR-U0xq20P6mqF8tsw/o.jpg","https://www.yelp.com/biz/hotel-valencia-riverwalk-san-antonio?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","150 E Houston St","","","San Antonio","78205","US","TX","150 E Houston St","San Antonio, TX 78205",""
"","","JW Marriott San Antonio Hill Country Resort & Spa","https://s3-media2.fl.yelpcdn.com/bphoto/CF3j5oKOMaNOG8XLYF_IkA/o.jpg","https://www.yelp.com/biz/jw-marriott-san-antonio-hill-country-resort-and-spa-san-antonio-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","4.0","23808 Resort Pkwy","","","San Antonio","78261","US","TX","23808 Resort Pkwy","San Antonio, TX 78261",""
"","","Hotel Contessa","https://s3-media3.fl.yelpcdn.com/bphoto/TDUBrmx6NKfemXo1WbhLOA/o.jpg","https://www.yelp.com/biz/hotel-contessa-san-antonio-4?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","306 W Market St","","","San Antonio","78205","US","TX","306 W Market St","San Antonio, TX 78205",""
"","","Grand Hyatt San Antonio","https://s3-media2.fl.yelpcdn.com/bphoto/IdKFnR_X9Dyy3iiFjGC1vA/o.jpg","https://www.yelp.com/biz/grand-hyatt-san-antonio-san-antonio?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","600 E Market St","","","San Antonio","78205","US","TX","600 E Market St","San Antonio, TX 78205",""
"","","The Westin Riverwalk, San Antonio","https://s3-media4.fl.yelpcdn.com/bphoto/NGusLVGXsDXV1waNe_84tQ/o.jpg","https://www.yelp.com/biz/the-westin-riverwalk-san-antonio-san-antonio-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","420 W Market St","","","San Antonio","78205","US","TX","420 W Market St","San Antonio, TX 78205",""
"California","San Diego","Hotel del Coronado","https://s3-media1.fl.yelpcdn.com/bphoto/1FODx5Gjaxz7lfB_q3MzxA/o.jpg","https://www.yelp.com/biz/hotel-del-coronado-coronado?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","1500 Orange Ave","","","Coronado","92118","US","CA","1500 Orange Ave","Coronado, CA 92118",""
"","","Manchester Grand Hyatt San Diego","https://s3-media3.fl.yelpcdn.com/bphoto/QvMJC8HWTYEa1AUFCaFOWg/o.jpg","https://www.yelp.com/biz/manchester-grand-hyatt-san-diego-san-diego-3?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","3.5","One Market Pl","","","San Diego","92101","US","CA","One Market Pl","San Diego, CA 92101",""
"","","Town and Country San Diego","https://s3-media4.fl.yelpcdn.com/bphoto/W3IYdgxiEDAqnthMWFckKg/o.jpg","https://www.yelp.com/biz/town-and-country-san-diego-san-diego-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw","2.5","500 Hotel Cir N","","","San Diego","92108","US","CA","500 Hotel Cir N","San Diego, CA 92108",""
