state,city,tours__name,tours__image_url,tours__url,tours__rating,tours__location__address1,tours__location__address2,tours__location__address3,tours__location__city,tours__location__zip_code,tours__location__country,tours__location__state,tours__location__display_address__001,tours__location__display_address__002,tours__location__display_address__003,tours__location__display_address__004,tours__review_count
Arizona,Phoenix,Taliesin West,https://s3-media3.fl.yelpcdn.com/bphoto/e709yL_SuGFpkSUFyQifYg/o.jpg,https://www.yelp.com/biz/taliesin-west-scottsdale?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,12621 N Frank Lloyd Wright Blvd,,,Scottsdale,85259,US,AZ,12621 N Frank Lloyd Wright Blvd,"Scottsdale, AZ 85259",,,283
Arizona,Phoenix,Ghost Town Tours,https://s3-media2.fl.yelpcdn.com/bphoto/7mXZ6JZR-Isip_Rf5HMuow/o.jpg,https://www.yelp.com/biz/ghost-town-tours-jerome?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4.5,403 Clark St,Ste A-2,,Jerome,86331,US,AZ,403 Clark St,Ste A-2,"Jerome, AZ 86331",,183
Arizona,Phoenix,Japanese Friendship Garden - Ro Ho En,https://s3-media3.fl.yelpcdn.com/bphoto/7SRBFhBylaw2RdxmI52AFQ/o.jpg,https://www.yelp.com/biz/japanese-friendship-garden-ro-ho-en-phoenix-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,1125 N 3rd Ave,null,,Phoenix,85003,US,AZ,1125 N 3rd Ave,"Phoenix, AZ 85003",,,151
Arizona,Phoenix,Arizona Food Tours- Scottsdale and Tempe Food Tours,https://s3-media3.fl.yelpcdn.com/bphoto/WM3rAi74rVYQz1VAM_cR7Q/o.jpg,https://www.yelp.com/biz/arizona-food-tours-scottsdale-and-tempe-food-tours-scottsdale?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,5,Old Town,null,,Scottsdale,85251,US,AZ,Old Town,"Scottsdale, AZ 85251",,,134
Arizona,Phoenix,Arizona Outback Adventures - AOA,https://s3-media1.fl.yelpcdn.com/bphoto/cGcNKL4FlHbmB3-YLJu01Q/o.jpg,https://www.yelp.com/biz/arizona-outback-adventures-aoa-scottsdale?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,5,17465 N 93rd St,null,,Scottsdale,85255,US,AZ,17465 N 93rd St,"Scottsdale, AZ 85255",,,95
Pennsylvania,Philadelphia,Grim Philly Twilight Tours,https://s3-media2.fl.yelpcdn.com/bphoto/IPAXvIsml6UzVmKH9ChIVw/o.jpg,https://www.yelp.com/biz/grim-philly-twilight-tours-philadelphia-2?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,599 Market St,,,Philadelphia,19106,US,PA,599 Market St,"Philadelphia, PA 19106",,,150
Pennsylvania,Philadelphia,The Big Bus Company,https://s3-media4.fl.yelpcdn.com/bphoto/BHfe-94nKzeQkUecGrCxkw/o.jpg,https://www.yelp.com/biz/the-big-bus-company-philadelphia?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3.5,500 Market St,,,Philadelphia,19106,US,PA,500 Market St,"Philadelphia, PA 19106",,,129
Pennsylvania,Philadelphia,Free Tours By Foot,https://s3-media3.fl.yelpcdn.com/bphoto/qvec3y_QIQsGAkzYmKvzDQ/o.jpg,https://www.yelp.com/biz/free-tours-by-foot-philadelphia?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,5,20 N 3rd St,Ste 201,,Philadelphia,19106,US,PA,20 N 3rd St,Ste 201,"Philadelphia, PA 19106",,124
Pennsylvania,Philadelphia,Old York Cellars,https://s3-media4.fl.yelpcdn.com/bphoto/0n86g488SM4XDuJUaUoDpw/o.jpg,https://www.yelp.com/biz/old-york-cellars-ringoes?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,4,80 Old York Rd,null,,Ringoes,8551,US,NJ,80 Old York Rd,"Ringoes, NJ 08551",,,98
Pennsylvania,Philadelphia,Philadelphia Sightseeing Tours & Transportation,https://s3-media1.fl.yelpcdn.com/bphoto/fI4_ucBuk6MOpnqCm6z2YA/o.jpg,https://www.yelp.com/biz/philadelphia-sightseeing-tours-and-transportation-philadelphia?adjust_creative=BpXhmQxwiLhi-ASFk8Yztw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BpXhmQxwiLhi-ASFk8Yztw,3,111 S Independence Mall E,,,Philadelphia,19106,US,PA,111 S Independence Mall E,"Philadelphia, PA 19106",,,90
